,Source,Target,Type,Weight
564,90,86,Undirected,2
565,6,86,Undirected,1
566,90,58,Undirected,6
567,8,6,Undirected,5
568,6,171,Undirected,1
569,8,104,Undirected,5
570,8,129,Undirected,2
571,8,86,Undirected,1
572,167,8,Undirected,3
573,90,82,Undirected,2
574,82,171,Undirected,2
575,8,82,Undirected,1
576,8,171,Undirected,1
577,177,178,Undirected,1
578,234,101,Undirected,1
579,234,220,Undirected,1
580,234,198,Undirected,1
581,177,93,Undirected,1
582,11,187,Undirected,4
583,187,122,Undirected,1
584,153,122,Undirected,1
585,185,205,Undirected,1
586,121,52,Undirected,1
587,124,48,Undirected,1
588,124,220,Undirected,11
589,188,95,Undirected,2
590,220,140,Undirected,3
591,220,48,Undirected,5
592,48,140,Undirected,2
593,136,59,Undirected,1
594,35,59,Undirected,1
595,136,126,Undirected,1
596,199,59,Undirected,1
597,6,58,Undirected,2
598,199,29,Undirected,2
599,199,229,Undirected,1
600,154,94,Undirected,1
601,154,212,Undirected,1
602,154,76,Undirected,1
603,154,167,Undirected,1
604,94,212,Undirected,1
605,94,76,Undirected,1
606,94,167,Undirected,1
607,212,76,Undirected,1
608,212,167,Undirected,1
609,76,167,Undirected,1
610,161,184,Undirected,1
611,161,220,Undirected,1
612,178,164,Undirected,1
613,53,164,Undirected,1
614,64,185,Undirected,1
615,223,46,Undirected,1
616,220,103,Undirected,2
617,124,103,Undirected,3
618,46,85,Undirected,2
619,124,85,Undirected,2
620,122,85,Undirected,1
621,85,103,Undirected,1
622,31,44,Undirected,1
623,30,198,Undirected,3
624,30,122,Undirected,1
625,30,216,Undirected,1
626,30,177,Undirected,1
627,30,89,Undirected,2
628,30,220,Undirected,2
629,216,177,Undirected,1
630,216,89,Undirected,1
631,216,220,Undirected,1
632,30,70,Undirected,1
633,70,89,Undirected,2
634,70,220,Undirected,1
635,198,89,Undirected,7
636,198,162,Undirected,1
637,177,162,Undirected,1
638,89,41,Undirected,1
639,220,41,Undirected,1
640,121,23,Undirected,2
641,121,187,Undirected,2
642,23,187,Undirected,3
643,223,187,Undirected,1
644,213,122,Undirected,1
645,124,57,Undirected,1
646,46,57,Undirected,1
647,46,169,Undirected,1
648,57,169,Undirected,1
649,57,6,Undirected,1
650,169,6,Undirected,1
651,122,6,Undirected,1
652,178,129,Undirected,1
653,20,167,Undirected,1
654,20,144,Undirected,1
655,181,131,Undirected,1
656,181,3,Undirected,1
657,181,13,Undirected,1
658,181,220,Undirected,1
659,131,3,Undirected,1
660,131,13,Undirected,1
661,131,220,Undirected,1
662,3,13,Undirected,1
663,3,220,Undirected,1
664,13,220,Undirected,1
665,68,177,Undirected,1
666,143,220,Undirected,1
667,143,198,Undirected,1
668,14,177,Undirected,2
669,185,134,Undirected,2
670,230,36,Undirected,2
671,42,36,Undirected,1
